customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,ChurnProbability,Customer_Status
CUST00001,Female,0,No,Yes,46,Yes,Yes,No,No,Yes,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),63.24,2877.88,0.06061588,Not At Risk
CUST00002,Male,0,No,Yes,3,Yes,No phone service,No,No internet service,No internet service,No,No internet service,Yes,Yes,Two year,No,Electronic check,101.68,305.86,0.035677828,Not At Risk
CUST00004,Male,0,Yes,No,34,No,No,DSL,No,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.51,1412.27,0.11489276,Not At Risk
CUST00007,Male,1,Yes,No,44,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,67.22,3007.08,0.21197708,Not At Risk
CUST00009,Female,0,Yes,No,18,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,119.93,2028.08,0.04421537,Not At Risk
CUST00010,Male,0,No,No,62,Yes,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),119.03,7354.14,0.27743936,Not At Risk
CUST00011,Male,0,No,Yes,37,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,94.43,3492.14,0.07535652,Not At Risk
CUST00013,Male,1,Yes,Yes,58,No,No,DSL,No internet service,Yes,No,No,No,Yes,One year,No,Credit card (automatic),44.76,2573.1,0.13549164,Not At Risk
CUST00014,Female,0,No,Yes,68,No,No,No,Yes,No,No internet service,Yes,No,No,One year,Yes,Electronic check,103.35,7010.99,0.083758645,Not At Risk
CUST00015,Male,0,No,No,12,No,No,Fiber optic,No,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),60.51,754.99,0.028052874,Not At Risk
CUST00016,Female,0,Yes,No,46,No,No,No,No internet service,Yes,No internet service,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),116.2,5293.52,0.061705858,Not At Risk
CUST00017,Female,1,Yes,Yes,60,No,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Two year,No,Electronic check,28.14,1684.51,0.071358226,Not At Risk
CUST00018,Female,1,No,Yes,30,Yes,Yes,DSL,Yes,No,No,No internet service,No,Yes,One year,Yes,Mailed check,63.58,1903.89,0.092230566,Not At Risk
CUST00019,Male,0,Yes,No,21,No,Yes,DSL,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,75.58,1614.91,0.22043546,Not At Risk
CUST00020,Female,0,No,No,42,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),60.52,2599.94,0.056329034,Not At Risk
CUST00021,Male,0,No,Yes,66,Yes,No,DSL,Yes,No internet service,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),41.06,2794.17,0.005600867,Not At Risk
CUST00022,Female,1,No,No,53,No,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),79.3,4165.6,0.025836894,Not At Risk
CUST00023,Female,1,No,No,9,No,No,DSL,No,Yes,Yes,No,No internet service,Yes,Two year,No,Bank transfer (automatic),95.59,760.31,0.10051325,Not At Risk
CUST00024,Female,1,Yes,No,41,Yes,Yes,No,Yes,No internet service,Yes,No,No internet service,No,One year,No,Bank transfer (automatic),84.48,3451.58,0.047112953,Not At Risk
CUST00025,Female,0,Yes,Yes,63,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),43.44,2657.29,0.022852696,Not At Risk
CUST00026,Female,0,Yes,Yes,20,Yes,Yes,No,No internet service,Yes,No,No internet service,No,No,Two year,Yes,Bank transfer (automatic),93.16,1999.93,0.056650106,Not At Risk
CUST00027,Female,0,Yes,Yes,65,No,No,No,No internet service,No internet service,No internet service,No,No,No,Month-to-month,Yes,Mailed check,45.69,2926.21,0.076061055,Not At Risk
CUST00028,Female,0,Yes,No,40,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,37.52,1528.99,0.256315,Not At Risk
CUST00029,Female,1,Yes,No,23,No,No,DSL,No,No,Yes,No,Yes,No internet service,One year,No,Electronic check,89.07,2095.31,0.2500321,Not At Risk
CUST00030,Male,1,Yes,Yes,34,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),104.28,3562.55,0.20552786,Not At Risk
CUST00031,Male,1,No,Yes,55,No,No,DSL,No internet service,No,No internet service,No,No internet service,No internet service,Two year,Yes,Mailed check,68.15,3852.09,0.022567281,Not At Risk
CUST00032,Female,1,Yes,Yes,29,No,Yes,No,No,No,Yes,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),73.14,2110.94,0.10488931,Not At Risk
CUST00033,Female,0,Yes,No,56,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,Yes,One year,No,Credit card (automatic),50.27,2773.38,0.09525991,Not At Risk
CUST00034,Female,0,No,Yes,46,Yes,No,DSL,No,No internet service,No,No internet service,No,No internet service,Two year,No,Mailed check,69.46,3150.83,0.019616865,Not At Risk
CUST00035,Male,1,Yes,Yes,34,No,No,DSL,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Electronic check,33.2,1166.3,0.045055192,Not At Risk
CUST00036,Female,1,Yes,No,18,Yes,No,Fiber optic,No internet service,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),115.58,2070.95,0.21639042,Not At Risk
CUST00038,Male,0,Yes,No,25,No,No,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,One year,No,Mailed check,86.8,2192.07,0.18347313,Not At Risk
CUST00039,Male,0,Yes,Yes,70,No,Yes,DSL,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),73.82,5202.86,0.24239457,Not At Risk
CUST00042,Female,0,Yes,Yes,66,No,No,No,No internet service,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),50.0,3304.4,0.0096477065,Not At Risk
CUST00043,Female,0,Yes,No,64,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Two year,No,Electronic check,36.04,2276.88,0.055311598,Not At Risk
CUST00044,Female,0,No,Yes,35,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),84.76,3007.17,0.021727324,Not At Risk
CUST00045,Female,0,Yes,Yes,24,Yes,No phone service,No,No internet service,No,Yes,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),112.94,2666.06,0.09445425,Not At Risk
CUST00046,Female,0,No,No,36,Yes,No,No,No,No,No,No internet service,No,No,Two year,Yes,Credit card (automatic),35.36,1216.52,0.019080676,Not At Risk
CUST00047,Male,0,No,No,0,No,No phone service,No,No internet service,No,No internet service,Yes,No internet service,Yes,Two year,No,Mailed check,38.0,57.8,0.020053066,Not At Risk
CUST00048,Female,0,Yes,No,14,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,No,One year,Yes,Electronic check,63.36,869.65,0.14485861,Not At Risk
CUST00049,Female,0,No,No,36,No,Yes,No,No internet service,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,100.69,3708.12,0.107439324,Not At Risk
CUST00050,Male,0,No,No,12,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,49.39,635.51,0.27099997,Not At Risk
CUST00051,Female,1,Yes,No,7,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,One year,Yes,Credit card (automatic),45.39,296.54,0.24911252,Not At Risk
CUST00052,Male,0,No,Yes,4,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No,One year,No,Credit card (automatic),82.0,352.31,0.31663448,Not At Risk
CUST00053,Female,0,No,Yes,59,Yes,No phone service,No,No,No,Yes,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),73.56,4466.46,0.01173409,Not At Risk
CUST00055,Female,0,Yes,Yes,35,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,28.15,1014.33,0.08535214,Not At Risk
CUST00056,Female,0,Yes,No,34,No,No,No,No,No,Yes,No internet service,No,No internet service,One year,No,Bank transfer (automatic),84.3,2836.46,0.047209848,Not At Risk
CUST00057,Male,0,No,Yes,65,Yes,No phone service,DSL,Yes,No,No,No internet service,No,No,Two year,No,Electronic check,66.51,4415.38,0.024328006,Not At Risk
CUST00058,Male,0,Yes,Yes,62,Yes,No,No,No internet service,No,Yes,No internet service,Yes,No internet service,Two year,No,Electronic check,117.1,7326.1,0.0797158,Not At Risk
CUST00059,Male,0,No,Yes,22,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,87.85,1903.42,0.013627725,Not At Risk
CUST00060,Male,0,No,No,8,Yes,No,No,No internet service,No,No,No internet service,No,No internet service,Two year,Yes,Electronic check,21.01,262.1,0.03201401,Not At Risk
CUST00061,Male,0,No,Yes,33,No,No phone service,DSL,No internet service,No,No internet service,No,No,Yes,One year,No,Credit card (automatic),68.1,2255.54,0.16432114,Not At Risk
CUST00062,Male,0,No,No,45,Yes,No phone service,DSL,No,No internet service,No,Yes,No internet service,Yes,Two year,No,Credit card (automatic),61.44,2722.78,0.010796696,Not At Risk
CUST00065,Female,0,No,Yes,71,Yes,No,DSL,No,No,Yes,No,No internet service,Yes,One year,No,Mailed check,100.5,7093.82,0.041775033,Not At Risk
CUST00066,Female,0,Yes,Yes,2,No,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),43.01,30.86,0.035696115,Not At Risk
CUST00067,Male,0,Yes,Yes,13,Yes,Yes,No,No,No internet service,No,Yes,Yes,No internet service,Two year,No,Electronic check,45.6,570.86,0.037168425,Not At Risk
CUST00068,Female,1,No,No,59,No,No phone service,Fiber optic,No,No internet service,Yes,Yes,No,No,Two year,Yes,Electronic check,23.2,1354.32,0.061365694,Not At Risk
CUST00069,Female,0,No,No,44,Yes,No,No,Yes,No,No internet service,No,No internet service,No,Two year,Yes,Credit card (automatic),49.67,2151.81,0.022009097,Not At Risk
CUST00070,Female,0,Yes,Yes,33,No,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,No internet service,One year,No,Credit card (automatic),78.46,2566.48,0.04849695,Not At Risk
CUST00071,Female,0,No,Yes,44,No,No,No,No internet service,Yes,No,No,No internet service,No,Two year,No,Credit card (automatic),62.08,2777.37,0.017441496,Not At Risk
CUST00072,Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),116.93,7028.63,0.05018707,Not At Risk
CUST00073,Female,0,Yes,Yes,15,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.61,358.37,0.016870495,Not At Risk
CUST00074,Male,1,Yes,No,65,No,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),79.14,5122.71,0.092976324,Not At Risk
CUST00076,Female,0,No,No,16,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,One year,Yes,Mailed check,68.07,1085.4,0.40964353,Not At Risk
CUST00077,Female,1,Yes,Yes,33,No,No,DSL,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),20.3,666.39,0.24956149,Not At Risk
CUST00078,Male,0,Yes,No,15,No,No phone service,No,No internet service,Yes,No,Yes,No internet service,No internet service,One year,No,Electronic check,44.28,708.21,0.0615045,Not At Risk
CUST00079,Female,0,Yes,Yes,59,No,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),52.38,3100.27,0.019155763,Not At Risk
CUST00080,Male,0,Yes,Yes,65,Yes,No phone service,No,Yes,No,Yes,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),116.6,7590.32,0.057422854,Not At Risk
CUST00081,Female,1,Yes,No,65,No,Yes,No,No internet service,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),111.18,7298.04,0.09130334,Not At Risk
CUST00083,Female,0,Yes,Yes,55,No,No phone service,No,Yes,No,No internet service,No,No internet service,No internet service,One year,Yes,Mailed check,102.58,5580.35,0.027502108,Not At Risk
CUST00084,Male,0,No,Yes,30,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),55.16,1575.85,0.044318967,Not At Risk
CUST00085,Male,0,Yes,No,33,Yes,Yes,DSL,No internet service,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),110.59,3632.0,0.045468252,Not At Risk
CUST00087,Male,0,No,Yes,66,Yes,Yes,DSL,No,No internet service,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),55.01,3649.46,0.05474917,Not At Risk
CUST00089,Female,0,No,No,54,Yes,Yes,No,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,No,Mailed check,74.69,4013.64,0.058924533,Not At Risk
CUST00090,Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No,No,No internet service,No internet service,One year,No,Bank transfer (automatic),38.72,908.88,0.03218203,Not At Risk
CUST00091,Female,0,No,Yes,52,No,No,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,No,Mailed check,23.26,1141.18,0.36503342,Not At Risk
CUST00092,Female,0,Yes,Yes,38,Yes,No,DSL,Yes,No internet service,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),114.58,4382.28,0.024625815,Not At Risk
CUST00093,Female,0,No,Yes,64,Yes,Yes,No,No,No,No internet service,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),112.57,7257.57,0.045739535,Not At Risk
CUST00094,Female,1,Yes,No,16,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,Two year,No,Electronic check,36.27,484.98,0.046453215,Not At Risk
CUST00095,Female,0,No,Yes,29,No,No,No,No,Yes,Yes,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),60.77,1832.86,0.013039132,Not At Risk
CUST00097,Female,0,Yes,No,12,Yes,No phone service,No,Yes,No internet service,No,No internet service,Yes,No,Two year,Yes,Credit card (automatic),86.1,1029.68,0.019239161,Not At Risk
CUST00098,Female,0,No,No,20,No,No phone service,DSL,No internet service,No,Yes,No internet service,No internet service,No internet service,One year,No,Electronic check,59.48,1158.26,0.12989141,Not At Risk
