customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,No,No,50,No,No phone service,No,Yes,No,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),87.29,4492.99,Yes
CUST00001,Female,0,No,Yes,46,Yes,Yes,No,No,Yes,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),63.24,2877.88,No
CUST00002,Male,0,No,Yes,3,Yes,No phone service,No,No internet service,No internet service,No,No internet service,Yes,Yes,Two year,No,Electronic check,101.68,305.86,No
CUST00003,Male,1,No,Yes,6,Yes,Yes,DSL,No internet service,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,39.63,241.69,Yes
CUST00004,Male,0,Yes,No,34,No,No,DSL,No,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.51,1412.27,No
CUST00005,Female,0,Yes,No,47,No,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,84.58,4019.29,Yes
CUST00006,Male,1,No,No,71,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,104.6,7479.65,Yes
CUST00007,Male,1,Yes,No,44,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,67.22,3007.08,No
CUST00008,Male,1,No,No,71,No,No,No,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),92.7,6507.64,Yes
CUST00009,Female,0,Yes,No,18,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,119.93,2028.08,No
CUST00010,Male,0,No,No,62,Yes,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),119.03,7354.14,No
CUST00011,Male,0,No,Yes,37,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,94.43,3492.14,No
CUST00012,Male,1,Yes,No,66,No,No,No,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),93.96,6170.7,Yes
CUST00013,Male,1,Yes,Yes,58,No,No,DSL,No internet service,Yes,No,No,No,Yes,One year,No,Credit card (automatic),44.76,2573.1,No
CUST00014,Female,0,No,Yes,68,No,No,No,Yes,No,No internet service,Yes,No,No,One year,Yes,Electronic check,103.35,7010.99,No
CUST00015,Male,0,No,No,12,No,No,Fiber optic,No,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),60.51,754.99,No
CUST00016,Female,0,Yes,No,46,No,No,No,No internet service,Yes,No internet service,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),116.2,5293.52,No
CUST00017,Female,1,Yes,Yes,60,No,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Two year,No,Electronic check,28.14,1684.51,No
CUST00018,Female,1,No,Yes,30,Yes,Yes,DSL,Yes,No,No,No internet service,No,Yes,One year,Yes,Mailed check,63.58,1903.89,No
CUST00019,Male,0,Yes,No,21,No,Yes,DSL,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,75.58,1614.91,No
CUST00020,Female,0,No,No,42,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),60.52,2599.94,No
CUST00021,Male,0,No,Yes,66,Yes,No,DSL,Yes,No internet service,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),41.06,2794.17,No
CUST00022,Female,1,No,No,53,No,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),79.3,4165.6,No
CUST00023,Female,1,No,No,9,No,No,DSL,No,Yes,Yes,No,No internet service,Yes,Two year,No,Bank transfer (automatic),95.59,760.31,No
CUST00024,Female,1,Yes,No,41,Yes,Yes,No,Yes,No internet service,Yes,No,No internet service,No,One year,No,Bank transfer (automatic),84.48,3451.58,No
CUST00025,Female,0,Yes,Yes,63,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),43.44,2657.29,No
CUST00026,Female,0,Yes,Yes,20,Yes,Yes,No,No internet service,Yes,No,No internet service,No,No,Two year,Yes,Bank transfer (automatic),93.16,1999.93,No
CUST00027,Female,0,Yes,Yes,65,No,No,No,No internet service,No internet service,No internet service,No,No,No,Month-to-month,Yes,Mailed check,45.69,2926.21,No
CUST00028,Female,0,Yes,No,40,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,37.52,1528.99,No
